Age,Attrition,DistanceFromHome,EnvironmentSatisfaction,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,1,2,2,Sales Executive,4,5993,Yes,1,6,4,0,5
49,No,8,3,2,Research Scientist,2,5130,No,3,10,7,1,7
37,Yes,2,4,1,Laboratory Technician,3,2090,Yes,3,0,0,0,0
33,No,3,4,1,Research Scientist,3,2909,Yes,3,8,7,3,0
27,No,2,1,1,Laboratory Technician,2,3468,No,3,2,2,2,2
32,No,2,4,1,Laboratory Technician,4,3068,No,2,7,7,3,6
59,No,3,3,1,Laboratory Technician,1,2670,Yes,2,1,0,0,0
30,No,24,4,1,Laboratory Technician,3,2693,No,3,1,0,0,0
38,No,23,4,3,Manufacturing Director,3,9526,No,3,9,7,1,8
36,No,27,3,2,Healthcare Representative,3,5237,No,2,7,7,7,7
35,No,16,1,1,Laboratory Technician,2,2426,No,3,5,4,0,3
29,No,15,4,2,Laboratory Technician,3,4193,Yes,3,9,5,0,8
31,No,26,1,1,Research Scientist,3,2911,No,2,5,2,4,3
34,No,19,2,1,Laboratory Technician,4,2661,No,3,2,2,1,2
28,Yes,24,3,1,Laboratory Technician,3,2028,Yes,3,4,2,0,3
29,No,21,2,3,Manufacturing Director,1,9980,No,3,10,9,8,8
32,No,5,1,1,Research Scientist,2,3298,Yes,2,6,2,0,5
22,No,16,4,1,Laboratory Technician,4,2935,Yes,2,1,0,0,0
53,No,2,1,4,Manager,4,15427,No,3,25,8,3,7
38,No,2,4,1,Research Scientist,4,3944,Yes,3,3,2,1,2
24,No,11,1,2,Manufacturing Director,3,4011,No,2,4,2,1,3
36,Yes,9,3,1,Sales Representative,1,3407,No,3,5,3,0,3
34,No,7,1,3,Research Director,2,11994,No,3,12,6,2,11
21,No,15,3,1,Research Scientist,4,1232,No,3,0,0,0,0
34,Yes,6,2,1,Research Scientist,1,2960,No,3,4,2,1,3
53,No,5,3,5,Manager,3,19094,No,2,14,13,4,8
32,Yes,16,2,1,Research Scientist,1,3919,Yes,3,10,2,6,7
42,No,8,3,2,Sales Executive,2,6825,No,3,9,7,4,2
44,No,7,1,3,Healthcare Representative,4,10248,No,3,22,6,5,17
46,No,2,2,5,Manager,1,18947,No,2,2,2,2,1
33,No,2,3,1,Laboratory Technician,4,2496,No,3,1,1,0,0
44,No,10,4,2,Healthcare Representative,4,6465,Yes,4,4,2,1,3
30,No,9,4,1,Laboratory Technician,3,2206,No,3,10,0,1,8
39,Yes,5,4,2,Sales Representative,4,2086,No,4,1,0,0,0
24,Yes,1,2,1,Research Scientist,4,2293,Yes,2,2,0,2,0
43,No,2,4,1,Research Scientist,3,2645,No,2,5,3,1,4
50,Yes,3,1,1,Sales Representative,3,2683,Yes,3,3,2,0,2
35,No,2,4,1,Sales Representative,4,2014,No,3,2,2,2,2
36,No,5,2,1,Research Scientist,1,3419,Yes,4,1,1,0,0
33,No,1,3,2,Sales Executive,1,5376,No,3,5,3,1,3
35,No,4,3,1,Laboratory Technician,4,1951,No,3,1,0,0,0
27,No,2,4,1,Laboratory Technician,1,2341,No,3,1,0,0,0
26,Yes,25,1,1,Laboratory Technician,3,2293,No,2,1,0,0,1
27,No,8,4,3,Sales Executive,3,8726,No,3,9,8,1,7
30,No,1,3,2,Laboratory Technician,4,4011,No,3,12,8,3,7
41,Yes,12,2,5,Research Director,3,19545,No,3,22,15,15,8
34,No,23,2,2,Sales Executive,3,4568,No,3,9,5,8,7
37,No,19,2,1,Research Scientist,2,3022,No,3,1,0,0,0
46,No,5,1,2,Sales Executive,4,5772,Yes,3,9,6,0,8
35,No,8,4,1,Laboratory Technician,4,2269,No,3,1,0,0,1
48,Yes,1,1,3,Laboratory Technician,3,5381,Yes,3,1,0,0,0
28,Yes,5,3,1,Laboratory Technician,3,3441,Yes,2,2,2,2,2
44,No,1,2,2,Sales Executive,1,5454,Yes,2,4,3,1,3
35,No,11,3,3,Healthcare Representative,1,9884,Yes,3,4,0,2,3
26,No,23,3,2,Sales Executive,4,4157,Yes,2,2,2,0,0
33,No,1,1,3,Research Director,4,13458,Yes,3,15,14,8,12
35,No,18,2,3,Sales Executive,1,9069,No,2,9,8,1,8
35,No,23,3,1,Laboratory Technician,1,4014,Yes,3,2,2,2,2
31,No,7,4,2,Laboratory Technician,4,5915,No,2,7,7,1,7
37,No,1,1,2,Manufacturing Director,3,5993,No,4,7,5,0,7
32,No,1,1,2,Manufacturing Director,4,6162,Yes,3,9,8,7,8
38,No,29,4,2,Laboratory Technician,4,2406,No,3,10,3,9,9
50,No,7,2,5,Research Director,3,18740,Yes,2,27,3,13,8
59,No,25,1,3,Sales Executive,1,7637,No,2,21,16,7,9
36,No,8,3,3,Healthcare Representative,3,10096,No,3,17,14,12,8
55,No,8,4,4,Manager,3,14756,Yes,3,5,0,0,2
36,No,11,2,2,Manufacturing Director,2,6499,No,3,6,5,0,3
45,No,7,2,3,Research Scientist,1,9724,No,3,1,0,0,0
35,No,1,2,1,Research Scientist,1,2194,No,2,3,2,1,2
36,Yes,9,4,1,Research Scientist,3,3388,Yes,2,1,0,0,0
59,No,1,1,2,Sales Executive,3,5473,No,2,4,3,1,3
29,No,2,3,1,Research Scientist,2,2703,No,3,5,4,0,4
31,No,1,3,1,Research Scientist,2,2501,No,3,1,1,1,0
32,No,1,2,2,Research Scientist,2,6220,No,3,10,4,0,9
36,No,6,2,1,Laboratory Technician,4,3038,No,3,1,0,0,0
31,No,8,3,2,Manufacturing Director,4,4424,No,3,11,7,1,8
35,No,1,3,2,Sales Executive,1,4312,No,3,15,13,2,8
45,No,6,4,3,Research Director,1,13245,Yes,4,0,0,0,0
37,No,7,1,3,Research Director,3,13664,No,4,5,2,0,2
46,No,5,2,2,Human Resources,2,5021,Yes,3,4,2,0,2
30,No,1,4,2,Laboratory Technician,4,5126,Yes,2,10,8,3,0
35,No,1,2,1,Research Scientist,3,2859,No,3,6,4,0,4
55,No,1,1,3,Sales Executive,4,10239,No,3,1,0,1,0
